no_1,obs_code,manageme_1,name_K_1,name_E_1,watershe_1,address_1,long,lat_1,start_1,Ele,level_1,remark_1
379,20184280,수자원공사,하동군(위태리),Hadonggun(Witaeri),낙동강,경상남도 하동군 옥종면 위태리 산240,127.843611,35.200833,1994-11-01,260,최적(A),
380,20184290,수자원공사,하동군(대곡리),Hadonggun(Daegokri),낙동강,경상남도 하동군 옥종면 대곡리 275-2,127.920278,35.178611,1994-11-01,60,최적(A),
381,20184300,수자원공사,진주시(자매리),Jinjusi(Jamaeri),낙동강,경상남도 진주시 수곡면 자매리 산93,127.928056,35.235556,1994-11-01,120,최적(A),
382,20184310,수자원공사,산청군(실매리),Sancheonggun(Silmaeri),낙동강,경상남도 산청군 차황면 실매리 268-14,127.932222,35.491667,1994-11-01,360,최적(A),
383,20184320,수자원공사,산청군(하정리),Sancheonggun(Hajungri),낙동강,경상남도 산청군 신안면 하정리 813-1,127.995833,35.32,1987-06-01,55,최적(A),
384,20184350,수자원공사,산청군(장천리),Sancheonggun(Jangchunri),낙동강,경상남도 산청군 신등면 장천리 484-3,127.991111,35.408889,1976-03-13,223,최적(A),
385,20184360,수자원공사,산청군(향양리),Sancheonggun(Hyangyangri),낙동강,경상남도 산청군 생초면 향양리 728-2,127.8625,35.554167,1976-03-13,414,최적(A),
386,20194020,수자원공사,진주시(장대동),Jinjusi(Jangdaedong),낙동강,경상남도 진주시 장대동 356-17,128.086667,35.190278,2009-11-13,26,최적(A),
387,20194030,환경부,진주시(운천리),Jinjusi(Uncheonri),낙동강,경상남도 진주시 일반성면 운천리 867,128.263333,35.173333,1988-01-01,35.3,최적(A),
388,20194040,환경부,함안군(대사교),Hamangun(Daesaro),낙동강,경상남도 함안군 함안면 대산리 1242-2(대사교),128.426111,35.255,1988-01-01,29.2,최적(A),
389,20194050,환경부,의령군(정암교),Uiryeonggun(Jeongamgyo),낙동강,경상남도 의령군 의령읍 정암리 430-43 ((구)정암교),128.295278,35.313333,1995-10-01,23.6,우수(B),
390,20194060,환경부,의령군(성산리),Uiryeonggun(Seongsanri),낙동강,경상남도 의령군 지정면 성산리 1106-4,128.429167,35.390833,1995-10-01,18.8,우수(B),
391,20194070,환경부,의령군(칠곡초교),Uiryeonggun(Chilgokchogyo),낙동강,경상남도 의령군 칠곡면 외조리 85-2 (칠곡초교),128.194722,35.341111,1998-03-01,85,최적(A),
392,20194075,환경부,고성군(두문교),Goseonggun(Dumungyo),낙동강,경상남도 고성군 영오면 오서리 1611-1 (두문교),128.190833,35.098611,2009-01-01,46,최적(A),관측방법 변경(수위제어식→전도형)
