no,obs_code,management,name_K,name_E,watershed,river,address,long,lat
487,2503625,수자원공사,거제시(죽전교),Geojesi(Jukjeongyo),낙동강남해,연초천,경상남도 거제시 동부면 죽토리 1093-6,128.514444,34.843333
488,2503640,수자원공사,거제시(구천댐),Geojesi(Gucheondam),낙동강남해,구천천,경상남도 거제시 동부면 구천리 산10,128.635278,34.823611
489,2503650,수자원공사,거제시(구천교),Geojesi(Gugheongyo),낙동강남해,구천천,경상남도 거제시 동부면 구천리 105-11,128.635556,34.813889
490,3001605,환경부,장수군(운곡교),Jangsu-gun(Ungokgyo),금강,금강,전라북도 장수군 천천면 삼고리 운곡교,127.530833,35.721389
491,3001610,환경부,장수군(장계제2교),Jangsu-gun(Janggyeje2gyo),금강,장계천,전라북도 장수군 장계면 장계리 장계제2교,127.583056,35.730278
492,3001620,수자원공사,장수군(연화교),Jangsugun(Yeonhwagyo),금강,금강,전라북도 장수군 천천면 연평리 2222-15,127.527222,35.788611
493,3001630,수자원공사,진안군(송대교),Jinangun(Songdaegyo),금강,진안천,전라북도 진안군 진안읍 운산리 송대교,127.454444,35.810833
494,3001640,수자원공사,진안군(성산리),Jinangun(Seongsanri),금강,구량천,전라북도 진안군 동향면 성산리 산193,127.544167,35.833056
495,3001660,수자원공사,진안군(석정교),Jinangun(Seokjeonggyo),금강,정자천,전라북도 진안군 정천면 월평리 석정교,127.4375,35.857778
496,3001690,수자원공사,진안군(용담댐),Jinangun(Yongdamdam),금강,금강,전라북도 진안군 안천면 삼락리,127.527222,35.943611
497,3001695,수자원공사,진안군(용담댐방수로),Jinangun(Yongdamdambangsuro),금강,금강,전라북도 진안군 안천면 삼락리,127.525556,35.945833
498,3002630,수자원공사,진안군(신용담교),Jinangun(Sinyongdamdamgyo),금강,금강,전라북도 진안군 안천면 삼락리,127.525278,35.951667
499,3002650,환경부,진안군(감동교),Jinan-gun(Gamdonggyo),금강,금강,전라북도 진안군 용담면 송풍리 감동교,127.534722,35.970833
500,3002655,환경부,무주군(대티교),Muju-gun(Daetigyo),금강,금강,전라북도 무주군 부남면 굴암리 대티교,127.5775,35.993889
501,3003620,환경부,무주군(신촌농2교),Muju-gun(Sinchonnong2gyo),금강,무주남대천,전라북도 무주군 설천면 소천리 신촌농2교,127.795278,36.005556
502,3003660,환경부,무주군(여의교),Muju-gun(Yeouigyo),금강,무주남대천,전라북도 무주군 무주읍 장백리 여의교,127.711667,36.035833
,,,,,,,(충청북도 영?,,
503,3003680,환경부,무주군(취수장),Muju-gun(Chwisujang),금강,무주남대천,전라북도 무주군 무주읍 읍내리 무주상수도취수장,127.673889,36.008889
504,3004620,수자원공사,금산군(적벽교),Geumsangun(Jeokbyeokgyo),금강,금강,충청남도 금산군 부리면 수통1길 12,127.593333,36.048889
505,3004637,환경부,금산군(황풍교),Geumsan-gun(Hwangpunggyo),금강,봉황천,충청남도 금산군 남일면 황풍리 960-21,127.5075,36.081667
506,3004640,환경부,금산군(제원대교),Geumsan-gun(Jewondaegyo),금강,금강,충청남도 금산군 제원면 저곡리 제원대교,127.567222,36.111111
,,,,,,,(충청남도 ?,,
507,3004645,환경부,금산군(음대교),Geumsan-gun(eumdaegyo),금강,봉황천,충청남도 금산군 남일면 음대리 음대교,127.502222,36.03
,,,,,,,(충청남도 금?,,
508,3004650,수자원공사,영동군(호탄리),Yeongdonggun(Hotanri),금강,금강,충청북도 영동군 양산면 호탄리 산15-1,127.649722,36.131667
509,3004680,환경부,영동군(영동제2교),Yeongdong-gun(Yeongdongje2gyo),금강,영동천,충청북도 영동군 영동읍 계산리 영동제2교,127.773333,36.177778
510,3004685,환경부,영동군(초강교),Yeongdong-gun(choganggyo),금강,영동천,충청북도 영동군 심천면 초강리 (구)초강교,127.715833,36.211111
511,3004690,환경부,영동군(양강교),Yeongdong-gun(Yangganggyo),금강,금강,충청북도 영동군 심천면 고당리 양강교,127.707778,36.211944
512,3005670,환경부,영동군(금상교),Yeongdong-gun(Guemsanggyo),금강,초강,충청북도 영동군 황간면 마산리 555 금상교,127.910278,36.225278
